utc_iso,sun_az_deg_from_north,sun_el_deg
2026-05-17T04:00:00Z,74.4112,13.4908
2026-05-17T04:10:00Z,76.508,14.68
2026-05-17T04:20:00Z,78.6098,15.8805
2026-05-17T04:30:00Z,80.7186,17.0905
2026-05-17T04:40:00Z,82.8365,18.3083
2026-05-17T04:50:00Z,84.9658,19.5323
2026-05-17T05:00:00Z,87.1086,20.7606
2026-05-17T05:10:00Z,89.2674,21.9915
2026-05-17T05:20:00Z,91.4446,23.2233
2026-05-17T05:30:00Z,93.6428,24.4541
2026-05-17T05:40:00Z,95.8645,25.6821
2026-05-17T05:50:00Z,98.1125,26.9053
2026-05-17T06:00:00Z,100.3895,28.1218
2026-05-17T06:10:00Z,102.6986,29.3295
2026-05-17T06:20:00Z,105.0425,30.5264
2026-05-17T06:30:00Z,107.4243,31.7101
2026-05-17T06:40:00Z,109.847,32.8785
2026-05-17T06:50:00Z,112.3137,34.0291
2026-05-17T07:00:00Z,114.8274,35.1594
2026-05-17T07:10:00Z,117.3912,36.2669
2026-05-17T07:20:00Z,120.0078,37.3487
2026-05-17T07:30:00Z,122.6803,38.4022
2026-05-17T07:40:00Z,125.4111,39.4244
2026-05-17T07:50:00Z,128.2027,40.4122
2026-05-17T08:00:00Z,131.0571,41.3625
2026-05-17T08:10:00Z,133.9761,42.2721
2026-05-17T08:20:00Z,136.9609,43.1376
2026-05-17T08:30:00Z,140.012,43.9557
2026-05-17T08:40:00Z,143.1294,44.723
2026-05-17T08:50:00Z,146.3123,45.4362
2026-05-17T09:00:00Z,149.559,46.0918
2026-05-17T09:10:00Z,152.8669,46.6867
2026-05-17T09:20:00Z,156.2324,47.2177
2026-05-17T09:30:00Z,159.651,47.682
2026-05-17T09:40:00Z,163.1169,48.0769
2026-05-17T09:50:00Z,166.6237,48.4001
2026-05-17T10:00:00Z,170.1639,48.6496
2026-05-17T10:10:00Z,173.7292,48.8238
2026-05-17T10:20:00Z,177.3108,48.9216
2026-05-17T10:30:00Z,180.8997,48.9424
2026-05-17T10:40:00Z,184.4863,48.886
2026-05-17T10:50:00Z,188.0615,48.7529
2026-05-17T11:00:00Z,191.6161,48.5439
2026-05-17T11:10:00Z,195.1416,48.2603
2026-05-17T11:20:00Z,198.6301,47.9039
2026-05-17T11:30:00Z,202.0747,47.4768
2026-05-17T11:40:00Z,205.4691,46.9816
2026-05-17T11:50:00Z,208.8082,46.4211
2026-05-17T12:00:00Z,212.0879,45.7981
2026-05-17T12:10:00Z,215.305,45.116
2026-05-17T12:20:00Z,218.4575,44.378
2026-05-17T12:30:00Z,221.544,43.5875
2026-05-17T12:40:00Z,224.5642,42.7478
2026-05-17T12:50:00Z,227.5182,41.8623
2026-05-17T13:00:00Z,230.407,40.9344
2026-05-17T13:10:00Z,233.232,39.9674
2026-05-17T13:20:00Z,235.9952,38.9645
2026-05-17T13:30:00Z,238.6986,37.9286
2026-05-17T13:40:00Z,241.3449,36.863
2026-05-17T13:50:00Z,243.9368,35.7703
2026-05-17T14:00:00Z,246.4772,34.6534
2026-05-17T14:10:00Z,248.9689,33.515
2026-05-17T14:20:00Z,251.4151,32.3576
